Daily Date,Closing Price - VWAP (GH¢),Simple Returns
25/08/2021,1.24,0.008130081300812941
24/08/2021,1.26,0.016129032258064502
23/08/2021,1.26,0.0
20/08/2021,1.26,0.0
19/08/2021,1.26,0.0
18/08/2021,1.26,0.0
17/08/2021,1.26,0.0
16/08/2021,1.26,0.0
13/08/2021,1.26,0.0
12/08/2021,1.26,0.0
11/08/2021,1.26,0.0
10/08/2021,1.26,0.0
09/08/2021,1.26,0.0
06/08/2021,1.26,0.0
05/08/2021,1.26,0.0
03/08/2021,1.26,0.0
02/08/2021,1.26,0.0
30/07/2021,1.25,-0.007936507936507908
29/07/2021,1.25,0.0
28/07/2021,1.25,0.0
27/07/2021,1.25,0.0
26/07/2021,1.2,-0.040000000000000036
23/07/2021,1.2,0.0
22/07/2021,1.18,-0.01666666666666672
21/07/2021,1.18,0.0
19/07/2021,1.2,0.016949152542372836
16/07/2021,1.2,0.0
15/07/2021,1.21,0.008333333333333304
14/07/2021,1.21,0.0
13/07/2021,1.21,0.0
12/07/2021,1.2,-0.008264462809917328
09/07/2021,1.2,0.0
08/07/2021,1.2,0.0
07/07/2021,1.2,0.0
06/07/2021,1.2,0.0
05/07/2021,1.2,0.0
02/07/2021,1.2,0.0
01/07/2021,1.2,0.0
30/06/2021,1.2,0.0
29/06/2021,1.2,0.0
28/06/2021,1.2,0.0
25/06/2021,1.2,0.0
24/06/2021,1.2,0.0
23/06/2021,1.2,0.0
22/06/2021,1.2,0.0
21/06/2021,1.2,0.0
18/06/2021,1.2,0.0
17/06/2021,1.2,0.0
16/06/2021,1.2,0.0
15/06/2021,1.2,0.0
14/06/2021,1.24,0.03333333333333344
11/06/2021,1.25,0.008064516129032251
10/06/2021,1.25,0.0
09/06/2021,1.25,0.0
08/06/2021,1.25,0.0
04/06/2021,1.15,-0.08000000000000007
03/06/2021,1.1,-0.04347826086956508
02/06/2021,1.1,0.0
01/06/2021,1.0,-0.09090909090909094
31/05/2021,1.0,0.0
28/05/2021,1.0,0.0
27/05/2021,1.0,0.0
26/05/2021,1.0,0.0
25/05/2021,1.0,0.0
24/05/2021,1.0,0.0
21/05/2021,1.0,0.0
20/05/2021,1.02,0.020000000000000018
19/05/2021,1.06,0.03921568627450989
18/05/2021,1.13,0.06603773584905648
17/05/2021,1.14,0.008849557522123908
14/05/2021,1.14,0.0
12/05/2021,1.17,0.026315789473684292
11/05/2021,1.19,0.017094017094017033
10/05/2021,1.24,0.04201680672268915
07/05/2021,1.24,0.0
06/05/2021,1.26,0.016129032258064502
05/05/2021,1.25,-0.007936507936507908
04/05/2021,1.23,-0.016000000000000014
30/04/2021,1.14,-0.07317073170731714
29/04/2021,1.04,-0.08771929824561397
28/04/2021,1.04,0.0
27/04/2021,0.96,-0.07692307692307698
26/04/2021,0.96,0.0
23/04/2021,0.96,0.0
22/04/2021,0.96,0.0
21/04/2021,0.96,0.0
20/04/2021,0.95,-0.01041666666666663
19/04/2021,0.94,-0.010526315789473717
16/04/2021,0.93,-0.010638297872340274
15/04/2021,0.93,0.0
14/04/2021,0.93,0.0
13/04/2021,0.93,0.0
12/04/2021,0.93,0.0
09/04/2021,0.93,0.0
08/04/2021,0.89,-0.043010752688172116
07/04/2021,0.89,0.0
06/04/2021,0.85,-0.0449438202247191
01/04/2021,0.85,0.0
31/03/2021,0.85,0.0
30/03/2021,0.85,0.0
29/03/2021,0.85,0.0
26/03/2021,0.85,0.0
25/03/2021,0.85,0.0
24/03/2021,0.85,0.0
23/03/2021,0.85,0.0
22/03/2021,0.85,0.0
19/03/2021,0.83,-0.02352941176470591
18/03/2021,0.83,0.0
17/03/2021,0.85,0.024096385542168752
15/03/2021,0.84,-0.0117647058823529
12/03/2021,0.84,0.0
11/03/2021,0.84,0.0
09/03/2021,0.83,-0.011904761904761862
05/03/2021,0.83,0.0
04/03/2021,0.83,0.0
03/03/2021,0.83,0.0
02/03/2021,0.83,0.0
01/03/2021,0.83,0.0
26/02/2021,0.82,-0.012048192771084376
25/02/2021,0.8,-0.024390243902438935
24/02/2021,0.8,0.0
23/02/2021,0.8,0.0
22/02/2021,0.8,0.0
19/02/2021,0.8,0.0
18/02/2021,0.8,0.0
17/02/2021,0.8,0.0
16/02/2021,0.8,0.0
15/02/2021,0.8,0.0
12/02/2021,0.79,-0.012499999999999956
11/02/2021,0.75,-0.05063291139240511
10/02/2021,0.73,-0.026666666666666727
09/02/2021,0.72,-0.013698630136986356
08/02/2021,0.7,-0.02777777777777779
05/02/2021,0.7,0.0
03/02/2021,0.7,0.0
02/02/2021,0.68,-0.02857142857142847
01/02/2021,0.68,0.0
29/01/2021,0.68,0.0
28/01/2021,0.68,0.0
27/01/2021,0.68,0.0
26/01/2021,0.68,0.0
25/01/2021,0.68,0.0
22/01/2021,0.68,0.0
21/01/2021,0.68,0.0
20/01/2021,0.67,-0.014705882352941235
19/01/2021,0.66,-0.014925373134328401
18/01/2021,0.66,0.0
15/01/2021,0.66,0.0
14/01/2021,0.66,0.0
13/01/2021,0.66,0.0
12/01/2021,0.66,0.0
11/01/2021,0.65,-0.015151515151515138
08/01/2021,0.65,0.0
06/01/2021,0.64,-0.015384615384615441
05/01/2021,0.64,0.0
04/01/2021,0.64,0.0
31/12/2020,0.64,0.0
30/12/2020,0.64,0.0
29/12/2020,0.64,0.0
24/12/2020,0.64,0.0
23/12/2020,0.63,-0.015625
22/12/2020,0.63,0.0
21/12/2020,0.63,0.0
18/12/2020,0.63,0.0
17/12/2020,0.63,0.0
16/12/2020,0.62,-0.015873015873015928
15/12/2020,0.62,0.0
14/12/2020,0.62,0.0
11/12/2020,0.61,-0.016129032258064502
10/12/2020,0.61,0.0
09/12/2020,0.62,0.016393442622950838
08/12/2020,0.62,0.0
04/12/2020,0.61,-0.016129032258064502
03/12/2020,0.61,0.0
02/12/2020,0.61,0.0
01/12/2020,0.61,0.0
30/11/2020,0.61,0.0
27/11/2020,0.6,-0.016393442622950838
26/11/2020,0.6,0.0
25/11/2020,0.61,0.016666666666666607
24/11/2020,0.61,0.0
23/11/2020,0.61,0.0
20/11/2020,0.61,0.0
19/11/2020,0.6,-0.016393442622950838
18/11/2020,0.6,0.0
17/11/2020,0.61,0.016666666666666607
16/11/2020,0.61,0.0
13/11/2020,0.61,0.0
12/11/2020,0.61,0.0
11/11/2020,0.61,0.0
10/11/2020,0.61,0.0
09/11/2020,0.61,0.0
06/11/2020,0.61,0.0
05/11/2020,0.61,0.0
04/11/2020,0.61,0.0
03/11/2020,0.61,0.0
02/11/2020,0.61,0.0
30/10/2020,0.61,0.0
29/10/2020,0.61,0.0
28/10/2020,0.61,0.0
27/10/2020,0.61,0.0
26/10/2020,0.61,0.0
23/10/2020,0.62,0.016393442622950838
22/10/2020,0.62,0.0
21/10/2020,0.62,0.0
20/10/2020,0.62,0.0
19/10/2020,0.61,-0.016129032258064502
16/10/2020,0.61,0.0
15/10/2020,0.61,0.0
14/10/2020,0.61,0.0
13/10/2020,0.61,0.0
12/10/2020,0.61,0.0
09/10/2020,0.61,0.0
08/10/2020,0.6,-0.016393442622950838
07/10/2020,0.6,0.0
06/10/2020,0.6,0.0
05/10/2020,0.6,0.0
02/10/2020,0.6,0.0
01/10/2020,0.6,0.0
30/09/2020,0.61,0.016666666666666607
29/09/2020,0.61,0.0
28/09/2020,0.61,0.0
25/09/2020,0.6,-0.016393442622950838
24/09/2020,0.6,0.0
23/09/2020,0.6,0.0
22/09/2020,0.6,0.0
18/09/2020,0.6,0.0
17/09/2020,0.6,0.0
16/09/2020,0.6,0.0
15/09/2020,0.58,-0.033333333333333326
14/09/2020,0.59,0.01724137931034475
11/09/2020,0.59,0.0
10/09/2020,0.59,0.0
09/09/2020,0.59,0.0
08/09/2020,0.59,0.0
07/09/2020,0.59,0.0
04/09/2020,0.59,0.0
03/09/2020,0.59,0.0
02/09/2020,0.58,-0.016949152542372947
01/09/2020,0.59,0.01724137931034475
31/08/2020,0.59,0.0
28/08/2020,0.59,0.0
27/08/2020,0.59,0.0
26/08/2020,0.59,0.0
25/08/2020,0.58,-0.016949152542372947
24/08/2020,0.59,0.01724137931034475
21/08/2020,0.59,0.0
20/08/2020,0.58,-0.016949152542372947
19/08/2020,0.58,0.0
18/08/2020,0.58,0.0
17/08/2020,0.58,0.0
14/08/2020,0.58,0.0
13/08/2020,0.58,0.0
12/08/2020,0.58,0.0
11/08/2020,0.58,0.0
10/08/2020,0.58,0.0
07/08/2020,0.58,0.0
06/08/2020,0.58,0.0
05/08/2020,0.58,0.0
03/08/2020,0.58,0.0
30/07/2020,0.57,-0.017241379310344862
29/07/2020,0.57,0.0
28/07/2020,0.56,-0.01754385964912264
27/07/2020,0.56,0.0
24/07/2020,0.56,0.0
23/07/2020,0.56,0.0
22/07/2020,0.56,0.0
21/07/2020,0.57,0.01785714285714257
20/07/2020,0.57,0.0
17/07/2020,0.56,-0.01754385964912264
16/07/2020,0.57,0.01785714285714257
15/07/2020,0.57,0.0
14/07/2020,0.57,0.0
13/07/2020,0.57,0.0
10/07/2020,0.57,0.0
09/07/2020,0.57,0.0
08/07/2020,0.57,0.0
07/07/2020,0.58,0.01754385964912286
06/07/2020,0.58,0.0
03/07/2020,0.58,0.0
02/07/2020,0.58,0.0
01/07/2020,0.59,0.01724137931034475
30/06/2020,0.59,0.0
29/06/2020,0.56,-0.05084745762711851
26/06/2020,0.56,0.0
25/06/2020,0.56,0.0
24/06/2020,0.59,0.05357142857142838
23/06/2020,0.59,0.0
22/06/2020,0.59,0.0
19/06/2020,0.59,0.0
18/06/2020,0.59,0.0
17/06/2020,0.6,0.016949152542372836
16/06/2020,0.58,-0.033333333333333326
15/06/2020,0.58,0.0
12/06/2020,0.58,0.0
11/06/2020,0.58,0.0
10/06/2020,0.59,0.01724137931034475
09/06/2020,0.59,0.0
08/06/2020,0.58,-0.016949152542372947
05/06/2020,0.58,0.0
04/06/2020,0.57,-0.017241379310344862
03/06/2020,0.56,-0.01754385964912264
02/06/2020,0.55,-0.017857142857142905
01/06/2020,0.55,0.0
29/05/2020,0.55,0.0
28/05/2020,0.56,0.0181818181818183
27/05/2020,0.58,0.03571428571428559
26/05/2020,0.6,0.034482758620689724
22/05/2020,0.61,0.016666666666666607
21/05/2020,0.61,0.0
20/05/2020,0.59,-0.032786885245901676
19/05/2020,0.6,0.016949152542372836
18/05/2020,0.6,0.0
15/05/2020,0.58,-0.033333333333333326
14/05/2020,0.58,0.0
13/05/2020,0.62,0.06896551724137945
12/05/2020,0.64,0.032258064516129004
11/05/2020,0.61,-0.046875
08/05/2020,0.61,0.0
07/05/2020,0.61,0.0
06/05/2020,0.66,0.08196721311475419
05/05/2020,0.64,-0.030303030303030276
04/05/2020,0.68,0.0625
30/04/2020,0.64,-0.05882352941176472
29/04/2020,0.7,0.09375
28/04/2020,0.62,-0.11428571428571421
27/04/2020,0.68,0.09677419354838723
24/04/2020,0.69,0.014705882352941124
23/04/2020,0.69,0.0
22/04/2020,0.66,-0.04347826086956508
21/04/2020,0.68,0.030303030303030276
20/04/2020,0.68,0.0
17/04/2020,0.68,0.0
16/04/2020,0.68,0.0
15/04/2020,0.68,0.0
14/04/2020,0.68,0.0
09/04/2020,0.68,0.0
08/04/2020,0.65,-0.044117647058823595
07/04/2020,0.66,0.01538461538461533
06/04/2020,0.66,0.0
03/04/2020,0.68,0.030303030303030276
02/04/2020,0.66,-0.02941176470588236
01/04/2020,0.68,0.030303030303030276
31/03/2020,0.68,0.0
30/03/2020,0.68,0.0
27/03/2020,0.68,0.0
26/03/2020,0.68,0.0
25/03/2020,0.68,0.0
24/03/2020,0.68,0.0
23/03/2020,0.68,0.0
20/03/2020,0.68,0.0
19/03/2020,0.68,0.0
18/03/2020,0.68,0.0
17/03/2020,0.69,0.014705882352941124
16/03/2020,0.68,-0.014492753623188248
13/03/2020,0.68,0.0
12/03/2020,0.7,0.02941176470588225
11/03/2020,0.7,0.0
10/03/2020,0.68,-0.02857142857142847
09/03/2020,0.68,0.0
05/03/2020,0.68,0.0
04/03/2020,0.67,-0.014705882352941235
03/03/2020,0.7,0.04477611940298498
02/03/2020,0.68,-0.02857142857142847
28/02/2020,0.7,0.02941176470588225
27/02/2020,0.67,-0.042857142857142705
26/02/2020,0.67,0.0
25/02/2020,0.67,0.0
24/02/2020,0.67,0.0
21/02/2020,0.67,0.0
20/02/2020,0.67,0.0
19/02/2020,0.67,0.0
18/02/2020,0.67,0.0
17/02/2020,0.68,0.014925373134328401
14/02/2020,0.67,-0.014705882352941235
13/02/2020,0.68,0.014925373134328401
12/02/2020,0.67,-0.014705882352941235
11/02/2020,0.67,0.0
10/02/2020,0.68,0.014925373134328401
07/02/2020,0.66,-0.02941176470588236
06/02/2020,0.68,0.030303030303030276
05/02/2020,0.67,-0.014705882352941235
04/02/2020,0.68,0.014925373134328401
03/02/2020,0.68,0.0
31/01/2020,0.68,0.0
30/01/2020,0.68,0.0
29/01/2020,0.68,0.0
28/01/2020,0.69,0.014705882352941124
27/01/2020,0.67,-0.02898550724637672
24/01/2020,0.68,0.014925373134328401
23/01/2020,0.7,0.02941176470588225
22/01/2020,0.68,-0.02857142857142847
21/01/2020,0.68,0.0
20/01/2020,0.7,0.02941176470588225
17/01/2020,0.69,-0.014285714285714346
16/01/2020,0.7,0.01449275362318847
15/01/2020,0.69,-0.014285714285714346
14/01/2020,0.7,0.01449275362318847
13/01/2020,0.7,0.0
10/01/2020,0.7,0.0
09/01/2020,0.7,0.0
08/01/2020,0.7,0.0
06/01/2020,0.7,0.0
03/01/2020,0.7,0.0
02/01/2020,0.7,0.0
31/12/2019,0.7,0.0
30/12/2019,0.7,0.0
27/12/2019,0.7,0.0
24/12/2019,0.7,0.0
23/12/2019,0.7,0.0
20/12/2019,0.69,-0.014285714285714346
19/12/2019,0.7,0.01449275362318847
18/12/2019,0.7,0.0
17/12/2019,0.7,0.0
16/12/2019,0.7,0.0
13/12/2019,0.7,0.0
12/12/2019,0.71,0.014285714285714235
11/12/2019,0.73,0.028169014084507005
10/12/2019,0.71,-0.0273972602739726
09/12/2019,0.7,-0.014084507042253502
05/12/2019,0.7,0.0
04/12/2019,0.7,0.0
03/12/2019,0.7,0.0
02/12/2019,0.7,0.0
29/11/2019,0.7,0.0
28/11/2019,0.7,0.0
27/11/2019,0.7,0.0
26/11/2019,0.7,0.0
25/11/2019,0.71,0.014285714285714235
22/11/2019,0.71,0.0
21/11/2019,0.7,-0.014084507042253502
20/11/2019,0.7,0.0
19/11/2019,0.7,0.0
18/11/2019,0.7,0.0
15/11/2019,0.7,0.0
14/11/2019,0.7,0.0
13/11/2019,0.7,0.0
12/11/2019,0.7,0.0
11/11/2019,0.7,0.0
08/11/2019,0.7,0.0
07/11/2019,0.7,0.0
