Daily Date,Share Code,Total Value Traded (GH¢)
29/09/2021,CAL,"10,360.00"
28/09/2021,CAL,37.5
27/09/2021,CAL,74
24/09/2021,CAL,"347,594.28"
23/09/2021,CAL,0
22/09/2021,CAL,0
20/09/2021,CAL,"1,840,991.24"
16/09/2021,CAL,74
15/09/2021,CAL,"1,110.00"
14/09/2021,CAL,"5,820.67"
13/09/2021,CAL,"1,440.00"
10/9/2021,CAL,0
9/9/2021,CAL,0
8/9/2021,CAL,0
7/9/2021,CAL,"1,061.28"
6/9/2021,CAL,0
3/9/2021,CAL,"80,683.86"
2/9/2021,CAL,"892,361.22"
1/9/2021,CAL,"10,581.84"
31/08/2021,CAL,822.24
30/08/2021,CAL,"449,403.12"
27/08/2021,CAL,720
26/08/2021,CAL,"128,551.68"
25/08/2021,CAL,360.72
24/08/2021,CAL,0
23/08/2021,CAL,"35,996.00"
20/08/2021,CAL,0
19/08/2021,CAL,"73,987.90"
18/08/2021,CAL,0
17/08/2021,CAL,128.1
16/08/2021,CAL,160.3
13/08/2021,CAL,"138,121.20"
12/8/2021,CAL,0
11/8/2021,CAL,10.5
10/8/2021,CAL,0
9/8/2021,CAL,"2,559.90"
6/8/2021,CAL,0
5/8/2021,CAL,0
3/8/2021,CAL,"8,300.60"
2/8/2021,CAL,"1,414,926.80"
30/07/2021,CAL,0
29/07/2021,CAL,"1,062.60"
28/07/2021,CAL,"1,750.00"
27/07/2021,CAL,"1,350.30"
26/07/2021,CAL,"1,303.40"
23/07/2021,CAL,0
22/07/2021,CAL,"1,787.10"
21/07/2021,CAL,"6,846.70"
19/07/2021,CAL,0
16/07/2021,CAL,"55,150.90"
15/07/2021,CAL,0
14/07/2021,CAL,"1,799.70"
13/07/2021,CAL,"414,798.30"
12/7/2021,CAL,0
9/7/2021,CAL,0
8/7/2021,CAL,"140,462.70"
7/7/2021,CAL,627.9
6/7/2021,CAL,"36,221.50"
5/7/2021,CAL,"1,561.00"
2/7/2021,CAL,0
1/7/2021,CAL,0
30/06/2021,CAL,"14,933.10"
29/06/2021,CAL,"405,856.50"
28/06/2021,CAL,0
25/06/2021,CAL,210
24/06/2021,CAL,"14,143.50"
23/06/2021,CAL,819
22/06/2021,CAL,"2,786.00"
21/06/2021,CAL,"1,139,585.30"
18/06/2021,CAL,"4,577.01"
17/06/2021,CAL,"177,646.60"
16/06/2021,CAL,"713,189.89"
15/06/2021,CAL,"112,507.17"
14/06/2021,CAL,0
11/6/2021,CAL,0
10/6/2021,CAL,978.2
9/6/2021,CAL,"15,844.65"
8/6/2021,CAL,"17,228.00"
4/6/2021,CAL,"1,484.09"
3/6/2021,CAL,"9,990.05"
2/6/2021,CAL,0
1/6/2021,CAL,438.73
31/05/2021,CAL,"14,600.00"
28/05/2021,CAL,0
27/05/2021,CAL,"701,353.52"
26/05/2021,CAL,"6,214,550.96"
25/05/2021,CAL,"15,186.80"
24/05/2021,CAL,"3,752.00"
21/05/2021,CAL,"8,468.80"
20/05/2021,CAL,"16,840.00"
19/05/2021,CAL,"482,000.00"
18/05/2021,CAL,"5,222.58"
17/05/2021,CAL,194.34
14/05/2021,CAL,0
12/5/2021,CAL,"1,954.06"
11/5/2021,CAL,"2,038.62"
10/5/2021,CAL,"1,706.88"
7/5/2021,CAL,"13,152.72"
6/5/2021,CAL,"1,756.44"
5/5/2021,CAL,252
4/5/2021,CAL,"32,020.80"
30/04/2021,CAL,"5,145.00"
29/04/2021,CAL,"75,691.56"
28/04/2021,CAL,381.36
27/04/2021,CAL,"22,352.40"
26/04/2021,CAL,"4,167.24"
23/04/2021,CAL,"4,200.00"
22/04/2021,CAL,"602,612.00"
21/04/2021,CAL,"1,884,600.00"
20/04/2021,CAL,"1,825.00"
19/04/2021,CAL,"5,670.35"
16/04/2021,CAL,393.99
15/04/2021,CAL,"1,086,851.88"
14/04/2021,CAL,"96,800.00"
13/04/2021,CAL,"5,251,696.64"
12/4/2021,CAL,"415,524.48"
9/4/2021,CAL,"90,048.00"
8/4/2021,CAL,"64,936.96"
